"","alpha_iv","mu_alpha","mu_att","mu_statquo","mu_cost","beta_imr","a1","b1","b2","c1","c2","c3","d1","d2","d3","d4"
"alpha_iv",-0.0661981156331932,-0.00756934595504756,0.000536220981074304,-0.000268135373887944,0.000513591109065368,-8.53633718521972e-05,0.0321178405995054,0,0.000152672146668546,0.000281931809168103,-0.00027350180403703,0,0,-0.000177884812578143,-0.000180077927458863,0
"mu_alpha",-0.00756934595504756,0,0.00245479656250702,0,0.00269160711842285,0.00196842290142354,0.00551783565658889,-0.00108028692067495,0.00264038905145582,0.00975174160353845,0,0.00686912031820839,0.00335117058797782,0.00615285920582875,0,0
"mu_att",0.000536220981074304,0.00245479656250702,-0.010711364566477,0.00502425991137496,-0.0103268135961047,-0.00352304429713565,-0.000298915640779395,0.00541103212332253,-0.00466520042335347,-0.010199818247586,0.00861363113709364,-0.00415055002120045,-0.00913294433333966,0.00515358639881872,-0.00241389327919468,0
"mu_statquo",-0.000268135373887944,0,0.00502425991137496,-0.00377820759495566,0.00532036740851676,0.00271943556779069,0.000130308654197094,-0.00340584502017065,0.00149652392103892,0.00483621921237681,-0.00318359390583087,0.00145998411678556,0.00439232044677638,-0.000871831840390181,0.000441290261475086,0
"mu_cost",0.000513591109065368,0.00269160711842285,-0.0103268135961047,0.00532036740851676,-0.0119107606452032,-0.00379635178928991,-0.000291194678280361,0.00390039716054453,0.000358308458710877,-0.00785983545309038,0.00122541743083812,-0.000451956153513382,-0.00840623580707864,-0.00278320284844636,0.00163928234724889,0
"beta_imr",-8.53633718521972e-05,0.00196842290142354,-0.00352304429713565,0.00271943556779069,-0.00379635178928991,-0.00217549300497828,4.14849631456479e-05,0.00264776029532449,-0.000952864414008579,-0.00351921151297586,0.00227598936169913,-0.000929598845928857,-0.00337616203101629,0.000647630003124714,-0.000187318438637113,0
"a1",0.0321178405995054,0.00551783565658889,-0.000298915640779395,0.000130308654197094,-0.000291194678280361,4.14849631456479e-05,-0.015595734076757,1.51781960602455e-05,-3.70978690302786e-05,0,0.000132916636427973,9.65121885267688e-05,-4.70844580658961e-05,8.6448610614305e-05,8.75144224259379e-05,0
"b1",0,-0.00108028692067495,0.00541103212332253,-0.00340584502017065,0.00390039716054453,0.00264776029532449,1.51781960602455e-05,-0.00602640709570107,0.00636243599640538,0.00836928151220162,-0.00944618233487055,0.00430811579182937,0.00641589388618756,-0.00710849504246618,0.003289661531405,0
"b2",0.000152672146668546,0.00264038905145582,-0.00466520042335347,0.00149652392103892,0.000358308458710877,-0.000952864414008579,-3.70978690302786e-05,0.00636243599640538,-0.014485659897461,-0.00944114960448676,0.0213706524713771,-0.0102526067600925,-0.00567776324227099,0.0218419345935582,-0.0108043463773402,0
"c1",0.000281931809168103,0.00975174160353845,-0.010199818247586,0.00483621921237681,-0.00785983545309038,-0.00351921151297586,0,0.00836928151220162,-0.00944114960448676,-0.0145287382511145,0.0162084638617211,-0.00716382351207034,-0.0109841114573598,0.0119169754379579,-0.00556795293281652,0
"c2",-0.00027350180403703,0,0.00861363113709364,-0.00318359390583087,0.00122541743083812,0.00227598936169913,0.000132916636427973,-0.00944618233487055,0.0213706524713771,0.0162084638617211,-0.0362331429742144,0.017870448826635,0.00896045567343986,-0.0324587412181952,0.0166545211550877,0
"c3",0,0.00686912031820839,-0.00415055002120045,0.00145998411678556,-0.000451956153513382,-0.000929598845928857,9.65121885267688e-05,0.00430811579182937,-0.0102526067600925,-0.00716382351207034,0.017870448826635,-0.00865061576721827,-0.00386860041296819,0.0167886191903944,-0.00784412470645447,0
"d1",0,0.00335117058797782,-0.00913294433333966,0.00439232044677638,-0.00840623580707864,-0.00337616203101629,-4.70844580658961e-05,0.00641589388618756,-0.00567776324227099,-0.0109841114573598,0.00896045567343986,-0.00386860041296819,-0.0108092895472218,0.00630038426569524,-0.00255122429917941,0
"d2",-0.000177884812578143,0.00615285920582875,0.00515358639881872,-0.000871831840390181,-0.00278320284844636,0.000647630003124714,8.6448610614305e-05,-0.00710849504246618,0.0218419345935582,0.0119169754379579,-0.0324587412181952,0.0167886191903944,0.00630038426569524,-0.0370166794550041,0.0193220426865378,0
"d3",-0.000180077927458863,0,-0.00241389327919468,0.000441290261475086,0.00163928234724889,-0.000187318438637113,8.75144224259379e-05,0.003289661531405,-0.0108043463773402,-0.00556795293281652,0.0166545211550877,-0.00784412470645447,-0.00255122429917941,0.0193220426865378,-0.010076498204718,0
"d4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
