"mu_x","sigma_x","scale","logLike"
2,1,1,-36522.6453129055
2.31341270922365,0.855736335709696,1.58416224204805,-33148.1059807829
2.19923978471225,1.32916766037433,1.86833112935394,-33108.0108437471
2.31622871274359,1.42430525284492,1.83664997692388,-33058.9627653117
2.38851522796344,1.24816349915227,1.80204722264747,-32768.4963951011
2.4579991167378,1.25831668561516,1.8631363052388,-32712.9781766239
2.50300439188937,1.31695582540086,1.93898082676787,-32692.850895452
2.49486837883642,1.32922051994658,1.99320506783549,-32687.9073012779
2.49206631813733,1.33054339900321,1.99486568395928,-32687.7623759166
2.48386005621514,1.3257993614242,2.01252747819484,-32687.4114828515
2.4828017028741,1.32464065835932,2.01199143196955,-32687.4048863191
2.47885918157592,1.32460638732889,2.01254071397774,-32687.3546376437
2.47892847352607,1.32459979631035,2.012500983621,-32687.3546214197
